serviceGuichetCode,serviceGuichetIntitule,secteurGuichet,casUsageCode,casUsageIntitule,domaineCatalogue,score,rang
PINS-GUICHET-010,Demander un permis de conduire,Transport,PINS-METIER-057,Demande de permis de conduire,SERVICES_CITOYENS,0.9000,1
PINS-GUICHET-010,Demander un permis de conduire,Transport,PINS-TECH-0100,Vérification d'un permis de conduire,SERVICES_CITOYENS,0.6667,2
PINS-GUICHET-010,Demander un permis de conduire,Transport,PINS-METIER-279,Demander une attestation d'authenticité du permis de conduire,SERVICES_CITOYENS,0.6000,3
PINS-GUICHET-011,Demander le duplicata du permis de conduire ;,Transport,PINS-METIER-280,Demander un renouvellement ou un duplicata du permis de conduire,SERVICES_CITOYENS,0.8000,1
PINS-GUICHET-011,Demander le duplicata du permis de conduire ;,Transport,PINS-METIER-057,Demande de permis de conduire,SERVICES_CITOYENS,0.6512,2
PINS-GUICHET-011,Demander le duplicata du permis de conduire ;,Transport,PINS-METIER-279,Demander une attestation d'authenticité du permis de conduire,SERVICES_CITOYENS,0.6230,3
PINS-GUICHET-012,Demander le renouvellement du permis de conduire,Transport,PINS-METIER-280,Demander un renouvellement ou un duplicata du permis de conduire,SERVICES_CITOYENS,0.8000,1
PINS-GUICHET-012,Demander le renouvellement du permis de conduire,Transport,PINS-METIER-003,Demande et renouvellement de passeport,SERVICES_CITOYENS,0.6458,2
PINS-GUICHET-012,Demander le renouvellement du permis de conduire,Transport,PINS-METIER-279,Demander une attestation d'authenticité du permis de conduire,SERVICES_CITOYENS,0.6230,3
PINS-GUICHET-013,Demander une attestation d’authenticité d’un permis de conduire,Transport,PINS-METIER-279,Demander une attestation d'authenticité du permis de conduire,SERVICES_CITOYENS,1.0000,1
PINS-GUICHET-013,Demander une attestation d’authenticité d’un permis de conduire,Transport,PINS-METIER-280,Demander un renouvellement ou un duplicata du permis de conduire,SERVICES_CITOYENS,0.5938,2
PINS-GUICHET-013,Demander une attestation d’authenticité d’un permis de conduire,Transport,PINS-METIER-274,Demander une pension d'ascendant de militaire,SERVICES_CITOYENS,0.5079,3
PINS-GUICHET-014,Proroger un permis de conduire,Transport,PINS-METIER-057,Demande de permis de conduire,SERVICES_CITOYENS,0.7000,1
PINS-GUICHET-014,Proroger un permis de conduire,Transport,PINS-TECH-0100,Vérification d'un permis de conduire,SERVICES_CITOYENS,0.6667,2
PINS-GUICHET-014,Proroger un permis de conduire,Transport,PINS-METIER-271,Convertir le brevet militaire en permis de conduire,SERVICES_CITOYENS,0.4902,3
PINS-GUICHET-015,Passer l’examen de moniteur d’auto-école,Transport,PINS-METIER-077,Passer l'Examen de moniteur d'auto-école,SERVICES_CITOYENS,1.0000,1
PINS-GUICHET-015,Passer l’examen de moniteur d’auto-école,Transport,PINS-METIER-282,Passer son permis de conduire pour véhicule léger,SERVICES_CITOYENS,0.4490,2
PINS-GUICHET-015,Passer l’examen de moniteur d’auto-école,Transport,PINS-METIER-277,Passer le permis de conduire pour véhicules lourds (type C),SERVICES_CITOYENS,0.4211,3
PINS-GUICHET-016,Demander un agrément de transport routier,Transport,PINS-METIER-133,Demander un agrément pour l'exercice du transport routier,SERVICES_CITOYENS,0.8000,1
PINS-GUICHET-016,Demander un agrément de transport routier,Transport,PINS-METIER-139,Demander l'agrément de transporteur routier pour un étranger,SERVICES_CITOYENS,0.6333,2
PINS-GUICHET-016,Demander un agrément de transport routier,Transport,PINS-METIER-162,Demander une autorisation de transport (licence),SERVICES_CITOYENS,0.6087,3
PINS-GUICHET-017,Effectuer le remplacement d’un agrément de transport routier,Transport,PINS-METIER-074,Demander une mutation d'une autorisation de transport routier,SERVICES_CITOYENS,0.5246,1
PINS-GUICHET-017,Effectuer le remplacement d’un agrément de transport routier,Transport,PINS-METIER-133,Demander un agrément pour l'exercice du transport routier,SERVICES_CITOYENS,0.5167,2
PINS-GUICHET-017,Effectuer le remplacement d’un agrément de transport routier,Transport,PINS-METIER-268,Demander le remboursement d'une caution de rapatriement,SERVICES_CITOYENS,0.4667,3
PINS-GUICHET-018,Effectuer le renouvellement d’un agrément de transport routier,Transport,PINS-METIER-133,Demander un agrément pour l'exercice du transport routier,SERVICES_CITOYENS,0.5000,1
PINS-GUICHET-018,Effectuer le renouvellement d’un agrément de transport routier,Transport,PINS-METIER-074,Demander une mutation d'une autorisation de transport routier,SERVICES_CITOYENS,0.4839,2
PINS-GUICHET-018,Effectuer le renouvellement d’un agrément de transport routier,Transport,PINS-METIER-280,Demander un renouvellement ou un duplicata du permis de conduire,SERVICES_CITOYENS,0.4688,3
