code,intitule,typologieActuelle,typologieCible
PINS-METIER-014,Attestation de régularité sociale CSS / IPRES,TECHNIQUE,METIER
PINS-METIER-015,Déclaration d'accident du travail,TECHNIQUE,METIER
PINS-METIER-016,Déclaration en douane (DAU import/export),TECHNIQUE,METIER
PINS-METIER-017,Demande de carte d'importateur / exportateur,TECHNIQUE,METIER
PINS-METIER-018,Domiciliation bancaire d'opérations d'import / export,TECHNIQUE,METIER
PINS-METIER-019,Crédit d'enlèvement / différé de paiement douanier,TECHNIQUE,METIER
PINS-METIER-020,Inscription au répertoire ARMP des opérateurs économiques,TECHNIQUE,METIER
PINS-METIER-021,Soumission dématérialisée à un appel d'offres,TECHNIQUE,METIER
PINS-METIER-022,Demande d'attestation de non-faillite,TECHNIQUE,METIER
PINS-METIER-023,Agrément d'établissement financier,TECHNIQUE,METIER
PINS-METIER-024,Licence opérateur télécom,TECHNIQUE,METIER
PINS-METIER-025,Permis minier,TECHNIQUE,METIER
PINS-METIER-026,Permis de pêche industrielle,TECHNIQUE,METIER
PINS-METIER-027,Agrément d'exploitation forestière,TECHNIQUE,METIER
PINS-METIER-028,Certificat de conformité ASN,TECHNIQUE,METIER
PINS-METIER-029,Permis de construire (commercial/industriel),TECHNIQUE,METIER
PINS-METIER-030,Demande de bail emphytéotique d'État,TECHNIQUE,METIER
PINS-METIER-031,Inscription au tableau d'un ordre professionnel,TECHNIQUE,METIER
PINS-METIER-032,Récépissé de déclaration d'association,TECHNIQUE,METIER
PINS-METIER-033,Agrément ONG nationale,TECHNIQUE,METIER
PINS-METIER-034,Demande d'acte de naissance dématérialisé,TECHNIQUE,METIER
PINS-METIER-035,Demande d'acte de mariage,TECHNIQUE,METIER
PINS-METIER-036,Demande d'acte de décès,TECHNIQUE,METIER
PINS-METIER-037,Déclaration de naissance en ligne,TECHNIQUE,METIER
PINS-METIER-038,Reconnaissance de paternité,TECHNIQUE,METIER
PINS-METIER-039,Demande de Carte Nationale d'Identité (CNI),TECHNIQUE,METIER
PINS-METIER-040,Demande de passeport biométrique,TECHNIQUE,METIER
PINS-METIER-041,Demande de certificat de nationalité,TECHNIQUE,METIER
PINS-METIER-043,Demande de certificat de résidence,TECHNIQUE,METIER
PINS-METIER-045,Demande d'évacuation sanitaire,TECHNIQUE,METIER
PINS-METIER-048,Demande d'équivalence de diplôme,TECHNIQUE,METIER
PINS-METIER-049,Demande d'attestation de diplôme,TECHNIQUE,METIER
PINS-METIER-051,Demande d'attestation de non-emploi public,TECHNIQUE,METIER
PINS-METIER-052,Déclaration de l'impôt sur le revenu des personnes physiques (IR),TECHNIQUE,METIER
PINS-METIER-053,Demande de quitus fiscal personne physique,TECHNIQUE,METIER
PINS-METIER-054,Inscription au Registre National Unique (RNU),TECHNIQUE,METIER
PINS-METIER-055,Demande de bourse de sécurité familiale,TECHNIQUE,METIER
PINS-METIER-056,Demande de carte d'égalité des chances (handicap),TECHNIQUE,METIER
PINS-METIER-057,Demande de permis de conduire,TECHNIQUE,METIER
PINS-METIER-058,Immatriculation d'un véhicule (carte grise),TECHNIQUE,METIER
PINS-METIER-059,Visite technique de véhicule,TECHNIQUE,METIER
PINS-METIER-060,Demande de logement social SN-HLM,TECHNIQUE,METIER
PINS-METIER-062,Permis de construire individuel,TECHNIQUE,METIER
PINS-METIER-063,Demande de visa (étranger entrant),TECHNIQUE,METIER
PINS-METIER-064,Carte d'identité d'étranger / titre de séjour,TECHNIQUE,METIER
