Code,Intitulé,Gouvernance,Domaine,Institutions,Registres,Systèmes source,Dépendances techniques
PINS-METIER-560,"Tableau de bord macroéconomique temps réel",QUALIFIE,FINANCES_PUBLIQUES,"ANSD(CONSOMMATEUR), DGCPT(FOURNISSEUR), DGD(FOURNISSEUR), DGID(FOURNISSEUR), MFB(CONSOMMATEUR)","SIGIF(CONSOMME)","","PINS-TECH-3010, PINS-TECH-3011"
PINS-METIER-561,"Suivi temps réel de l'exécution du PRES",QUALIFIE,FINANCES_PUBLIQUES,"MEPC(INITIATEUR), MEPC(CONSOMMATEUR), MFB(CONSOMMATEUR)","SIGIF(CONSOMME)","","PINS-TECH-3012, PINS-TECH-3013"
PINS-METIER-562,"Production accélérée des comptes nationaux",QUALIFIE,FINANCES_PUBLIQUES,"ANSD(CONSOMMATEUR), DGCPT(FOURNISSEUR), DGD(FOURNISSEUR), DGID(FOURNISSEUR)","SIGIF(CONSOMME)","","PINS-TECH-3014"
PINS-METIER-563,"Coordination temps réel de l'aide internationale",QUALIFIE,FINANCES_PUBLIQUES,"DCEF(FOURNISSEUR), MFB(CONSOMMATEUR)","","","PINS-TECH-3015, PINS-TECH-3016"
PINS-METIER-564,"Signaux faibles et alertes macroéconomiques",QUALIFIE,FINANCES_PUBLIQUES,"ANSD(CONSOMMATEUR), DGCPT(FOURNISSEUR), DGD(FOURNISSEUR), DGID(FOURNISSEUR), MEPC(INITIATEUR), MFB(CONSOMMATEUR)","","","PINS-TECH-3010, PINS-TECH-3011, PINS-TECH-3012, PINS-TECH-3013, PINS-TECH-3017"
PINS-PROP-TECH-0001,"SENTAX.TransmettreRolesEtPrisesEnCharge",QUALIFIE,FINANCES_PUBLIQUES,"DGCPT(CONSOMMATEUR), DGID(FOURNISSEUR)","ASTER(ALIMENTE), NOMENCLATURE-FISCALE(CONSOMME), SENTAX(CONSOMME)","SIGTAS",""
PINS-TECH-3010,"ANSD.GetIndicateursConjoncturels",QUALIFIE,FINANCES_PUBLIQUES,"ANSD(FOURNISSEUR)","","",""
PINS-TECH-3011,"BCEAO.GetIndicateursMonetaires",QUALIFIE,FINANCES_PUBLIQUES,"BCEAO(FOURNISSEUR)","","",""
PINS-TECH-3012,"Ministeres.PushIndicateursPRES",QUALIFIE,FINANCES_PUBLIQUES,"MEPC(CONSOMMATEUR), MFB(CONSOMMATEUR)","","",""
PINS-TECH-3013,"Budget.GetExecutionParMesurePRES",QUALIFIE,FINANCES_PUBLIQUES,"ANSD(CONSOMMATEUR), MFB(FOURNISSEUR)","SIGIF(CONSOMME)","",""
PINS-TECH-3014,"Sectoriels.GetIndicateursActivite",QUALIFIE,FINANCES_PUBLIQUES,"ANSD(CONSOMMATEUR)","","",""
PINS-TECH-3015,"DCEF.GetEngagementsBailleurs",QUALIFIE,FINANCES_PUBLIQUES,"DCEF(FOURNISSEUR)","","",""
PINS-TECH-3016,"DCEF.GetDecaissementsParProjet",QUALIFIE,FINANCES_PUBLIQUES,"DCEF(FOURNISSEUR)","","",""
PINS-TECH-3017,"MEPC.PushAlertesMacroeconomiques",QUALIFIE,FINANCES_PUBLIQUES,"MEPC(FOURNISSEUR)","","",""
PINS-TECH-5058,"DRS-SFD.VerifierAgrementSFD",QUALIFIE,FINANCES_PUBLIQUES,"DRS-SFD(FOURNISSEUR)","NOMENCLATURE-FISCALE(CONSOMME), REG-ASSOC(CONSOMME)","",""
PINS-METIER-550,"Réconciliation fiscalo-douanière DGD ↔ DGID",PRIORISE,FINANCES_PUBLIQUES,"ANSD(FOURNISSEUR), DGD(CONSOMMATEUR), DGID(CONSOMMATEUR), MJ(FOURNISSEUR)","GAINDE(CONSOMME), NINEA(CONSOMME), RCCM(CONSOMME), REG-CASIER(CONSOMME), SENTAX(CONSOMME)","GAINDE-INTEGRAL, NINEA-WEB, ORBUS, SIGNAS, SIGTAS","PINS-TECH-0002, PINS-TECH-0027, PINS-TECH-0050"
